Date,fear_metric,rating
2021-01-04,50.0,neutral
2021-01-22,68.9,greed
2021-01-25,69.7,greed
2021-01-26,67.4,greed
2021-01-27,28.200000000000003,fear
2021-01-28,52.900000000000006,neutral
2021-01-29,40.966666666666676,fear
2021-02-01,43.400000000000006,fear
2021-02-02,60.46666666666667,greed
2021-02-03,59.199999999999996,greed
2021-02-04,61.06666666666667,greed
2021-02-05,68.0,greed
2021-02-08,72.86666666666667,greed
2021-02-09,75.4,extreme greed
2021-02-10,75.26666666666667,extreme greed
2021-02-11,76.0,extreme greed
2021-02-12,77.66666666666667,extreme greed
2021-02-16,73.93333333333334,greed
2021-02-17,70.2,greed
2021-02-18,62.53333333333334,greed
2021-02-19,56.239999999999995,greed
2021-02-22,52.48,neutral
2021-02-23,50.56,neutral
2021-02-24,63.8,greed
2021-02-25,46.160000000000004,neutral
2021-02-26,53.52,neutral
2021-03-01,58.52,greed
2021-03-02,50.32000000000001,neutral
2021-03-03,43.84,fear
2021-03-04,37.8,fear
2021-03-05,41.52,fear
2021-03-08,39.08,fear
2021-03-09,43.36,fear
2021-03-10,45.56,neutral
2021-03-11,50.480000000000004,neutral
2021-03-12,53.720000000000006,neutral
2021-03-15,56.52,greed
2021-03-16,54.8,neutral
2021-03-17,57.86666666666667,greed
2021-03-18,52.333333333333336,neutral
2021-03-19,50.833333333333336,neutral
2021-03-22,50.699999999999996,neutral
2021-03-23,41.800000000000004,fear
2021-03-24,37.66666666666667,fear
2021-03-25,37.833333333333336,fear
2021-03-26,37.56666666666667,fear
2021-03-29,39.56666666666667,fear
2021-03-30,42.03333333333334,fear
2021-03-31,44.56666666666667,fear
2021-04-01,46.400000000000006,neutral
2021-04-05,54.56666666666667,neutral
2021-04-06,53.5,neutral
2021-04-07,52.53333333333333,neutral
2021-04-08,48.099999999999994,neutral
2021-04-09,47.5,neutral
2021-04-12,43.43333333333334,fear
2021-04-13,43.63333333333333,fear
2021-04-14,39.96666666666667,fear
2021-04-15,47.16666666666668,neutral
2021-04-16,51.300000000000004,neutral
2021-04-19,45.26666666666667,neutral
2021-04-20,42.866666666666674,fear
2021-04-21,49.63333333333333,neutral
2021-04-22,46.70000000000001,neutral
2021-04-23,47.699999999999996,neutral
2021-04-26,50.53333333333334,neutral
2021-04-27,54.800000000000004,neutral
2021-04-28,52.400000000000006,neutral
2021-04-29,56.166666666666664,greed
2021-04-30,46.53333333333333,neutral
2021-05-03,47.56666666666667,neutral
2021-05-04,43.46666666666667,fear
2021-05-05,43.03333333333333,fear
2021-05-06,43.93333333333334,fear
2021-05-07,48.166666666666664,neutral
2021-05-10,44.93333333333334,fear
2021-05-12,26.766666666666666,fear
2021-05-13,34.433333333333344,fear
2021-05-14,35.99999999999999,fear
2021-05-17,36.36666666666667,fear
2021-05-18,34.03333333333334,fear
2021-05-19,32.333333333333336,fear
2021-05-20,32.300000000000004,fear
2021-05-21,29.433333333333334,fear
2021-05-24,29.5,fear
2021-05-25,26.66666666666667,fear
2021-05-26,28.133333333333336,fear
2021-05-27,30.3,fear
2021-05-28,31.566666666666666,fear
2021-06-01,35.4,fear
2021-06-02,42.13333333333333,fear
2021-06-03,40.800000000000004,fear
2021-06-04,41.9,fear
2021-06-07,44.46666666666667,fear
2021-06-08,46.46666666666667,neutral
2021-06-09,48.53333333333333,neutral
2021-06-10,48.9,neutral
2021-06-11,51.23333333333334,neutral
2021-06-14,54.166666666666664,neutral
2021-06-15,52.666666666666664,neutral
2021-06-16,44.800000000000004,fear
2021-06-18,31.600000000000005,fear
2021-06-21,32.46666666666666,fear
2021-06-22,32.800000000000004,fear
2021-06-23,33.26666666666667,fear
2021-06-24,36.9,fear
2021-06-25,41.63333333333333,fear
2021-06-28,41.43333333333334,fear
2021-06-29,39.833333333333336,fear
2021-06-30,38.00000000000001,fear
2021-07-01,38.666666666666664,fear
2021-07-02,38.66666666666667,fear
2021-07-06,33.300000000000004,fear
2021-07-07,33.1,fear
2021-07-08,26.96666666666667,fear
2021-07-09,31.000000000000004,fear
2021-07-12,31.7,fear
2021-07-13,31.266666666666666,fear
2021-07-14,29.533333333333335,fear
2021-07-15,27.33333333333334,fear
2021-07-16,26.900000000000002,fear
2021-07-19,8.983333333333334,extreme fear
2021-07-20,20.066666666666666,extreme fear
2021-07-21,24.2,extreme fear
2021-07-22,24.333333333333332,extreme fear
2021-07-23,28.299999999999997,fear
2021-07-26,30.900000000000002,fear
2021-07-27,27.166666666666668,fear
2021-07-28,27.46666666666667,fear
2021-07-29,29.233333333333334,fear
2021-07-30,25.76666666666667,fear
2021-08-02,25.099999999999998,fear
2021-08-04,28.633333333333336,fear
2021-08-05,29.633333333333336,fear
2021-08-06,31.866666666666664,fear
2021-08-09,32.06666666666667,fear
2021-08-10,34.833333333333336,fear
2021-08-11,37.93333333333334,fear
2021-08-12,43.13333333333333,fear
2021-08-13,47.13333333333333,neutral
2021-08-16,44.866666666666674,fear
2021-08-18,18.2,extreme fear
2021-08-19,14.883333333333335,extreme fear
2021-08-20,23.86666666666667,extreme fear
2021-08-23,30.433333333333334,fear
2021-08-24,34.4,fear
2021-08-25,36.03333333333333,fear
2021-08-26,36.833333333333336,fear
2021-08-27,47.46666666666667,neutral
2021-08-30,47.86666666666667,neutral
2021-08-31,47.23333333333333,neutral
2021-09-02,44.166666666666664,fear
2021-09-03,44.06666666666666,fear
2021-09-07,41.7,fear
2021-09-08,38.56666666666667,fear
2021-09-09,33.800000000000004,fear
2021-09-10,20.600000000000005,extreme fear
2021-09-13,28.266666666666666,fear
2021-09-14,24.8,extreme fear
2021-09-15,31.200000000000003,fear
2021-09-16,31.500000000000004,fear
2021-09-17,17.933333333333337,extreme fear
2021-09-20,11.100000000000001,extreme fear
2021-09-21,11.449999999999998,extreme fear
2021-09-22,20.033333333333335,extreme fear
2021-09-23,24.5,extreme fear
2021-09-24,23.83333333333334,extreme fear
2021-09-27,24.766666666666666,extreme fear
2021-09-28,12.466666666666669,extreme fear
2021-09-29,12.483333333333334,extreme fear
2021-09-30,9.966666666666667,extreme fear
2021-10-01,18.333333333333332,extreme fear
2021-10-04,9.500000000000002,extreme fear
2021-10-05,18.766666666666666,extreme fear
2021-10-07,24.600000000000005,extreme fear
2021-10-08,25.26666666666667,fear
2021-10-11,25.900000000000002,fear
2021-10-12,22.7,extreme fear
2021-10-13,24.100000000000005,extreme fear
2021-10-14,31.833333333333332,fear
2021-10-18,46.56666666666666,neutral
2021-10-19,53.400000000000006,neutral
2021-10-20,56.56666666666667,greed
2021-10-21,60.199999999999996,greed
2021-10-22,59.5,greed
2021-10-25,62.96666666666667,greed
2021-10-26,63.03333333333334,greed
2021-10-27,58.333333333333336,greed
2021-10-28,64.4,greed
2021-10-29,65.43333333333334,greed
2021-11-01,66.13333333333334,greed
2021-11-02,68.26666666666667,greed
2021-11-03,72.2,greed
2021-11-04,72.43333333333334,greed
2021-11-05,73.60000000000001,greed
2021-11-08,74.53333333333335,greed
2021-11-09,77.17142857142858,extreme greed
2021-11-10,73.08571428571429,greed
2021-11-11,72.22857142857143,greed
2021-11-12,74.0,greed
2021-11-15,71.62857142857145,greed
2021-11-16,72.48571428571428,greed
2021-11-17,69.2,greed
2021-11-18,70.14285714285715,greed
2021-11-19,62.77142857142859,greed
2021-11-22,60.0,greed
2021-11-23,60.371428571428574,greed
2021-11-24,56.94285714285714,greed
2021-11-26,31.25714285714286,fear
2021-11-29,38.114285714285714,fear
2021-11-30,24.771428571428572,extreme fear
2021-12-01,25.357142857142858,fear
2021-12-02,22.928571428571427,extreme fear
2021-12-03,20.157142857142862,extreme fear
2021-12-06,21.25714285714286,extreme fear
2021-12-07,37.88571428571429,fear
2021-12-08,41.314285714285724,fear
2021-12-09,36.85714285714287,fear
2021-12-10,42.0,fear
2021-12-14,31.542857142857144,fear
2021-12-15,37.800000000000004,fear
2021-12-16,33.57142857142858,fear
2021-12-17,32.51428571428572,fear
2021-12-20,29.428571428571427,fear
2021-12-21,34.028571428571425,fear
2021-12-22,39.542857142857144,fear
2021-12-23,50.48571428571428,neutral
2021-12-27,56.39999999999999,greed
2021-12-28,62.971428571428575,greed
2021-12-29,64.02857142857144,greed
2021-12-30,63.97142857142858,greed
2021-12-31,62.54285714285715,greed
2022-01-03,65.22857142857144,greed
2022-01-04,64.25714285714285,greed
2022-01-05,51.02857142857143,neutral
2022-01-06,52.142857142857146,neutral
2022-01-07,49.25714285714287,neutral
2022-01-10,51.142857142857146,neutral
2022-01-11,56.114285714285714,greed
2022-01-12,55.94285714285714,greed
2022-01-13,52.17142857142857,neutral
2022-01-14,55.800000000000004,greed
2022-01-18,53.714285714285715,neutral
2022-01-19,44.82857142857143,fear
2022-01-20,39.142857142857146,fear
2022-01-21,26.728571428571428,fear
2022-01-24,23.128571428571433,extreme fear
2022-01-25,20.88571428571429,extreme fear
2022-01-26,19.514285714285716,extreme fear
2022-01-27,18.6,extreme fear
2022-01-28,23.857142857142858,extreme fear
2022-01-31,29.200000000000006,fear
2022-02-01,30.800000000000004,fear
2022-02-02,28.800000000000004,fear
2022-02-03,26.057142857142857,fear
2022-02-04,27.6,fear
2022-02-07,27.914285714285715,fear
2022-02-08,28.942857142857143,fear
2022-02-09,32.65714285714286,fear
2022-02-10,33.6,fear
2022-02-11,28.48571428571429,fear
2022-02-14,25.685714285714287,fear
2022-02-15,29.97142857142857,fear
2022-02-16,32.08571428571428,fear
2022-02-17,32.457142857142856,fear
2022-02-18,29.514285714285716,fear
2022-02-22,28.771428571428572,fear
2022-02-23,18.814285714285713,extreme fear
2022-02-24,21.228571428571428,extreme fear
2022-02-25,28.142857142857142,fear
2022-02-28,25.47142857142857,fear
2022-03-01,22.97142857142857,extreme fear
2022-03-02,17.82857142857143,extreme fear
2022-03-03,21.72857142857143,extreme fear
2022-03-04,18.17142857142857,extreme fear
2022-03-07,16.9,extreme fear
2022-03-08,16.67142857142857,extreme fear
2022-03-09,18.028571428571432,extreme fear
2022-03-10,17.95714285714286,extreme fear
2022-03-11,19.057142857142857,extreme fear
2022-03-14,17.5,extreme fear
2022-03-15,21.857142857142858,extreme fear
2022-03-16,25.25714285714286,fear
2022-03-17,33.62857142857143,fear
2022-03-18,38.42857142857143,fear
2022-03-21,40.971428571428575,fear
2022-03-22,44.542857142857144,fear
2022-03-23,45.199999999999996,neutral
2022-03-24,46.91428571428571,neutral
2022-03-25,49.371428571428574,neutral
2022-03-28,51.25714285714286,neutral
2022-03-29,52.714285714285715,neutral
2022-03-30,52.800000000000004,neutral
2022-04-01,59.800000000000004,greed
2022-04-04,61.65714285714286,greed
2022-04-05,47.91428571428571,neutral
2022-04-06,46.4,neutral
2022-04-07,46.82857142857142,neutral
2022-04-08,46.08571428571429,neutral
2022-04-11,43.4,fear
2022-04-12,42.05714285714286,fear
2022-04-14,39.857142857142854,fear
2022-04-18,37.6,fear
2022-04-19,39.628571428571426,fear
2022-04-20,43.31428571428571,fear
2022-04-21,38.94285714285714,fear
2022-04-22,31.62857142857143,fear
2022-04-26,17.900000000000002,extreme fear
2022-04-27,16.271428571428572,extreme fear
2022-04-28,24.25714285714286,extreme fear
2022-04-29,14.328571428571427,extreme fear
2022-05-02,13.27142857142857,extreme fear
2022-05-03,30.485714285714288,fear
2022-05-04,22.400000000000002,extreme fear
2022-05-05,13.128571428571432,extreme fear
2022-05-06,12.242857142857146,extreme fear
2022-05-09,8.185714285714285,extreme fear
2022-05-10,7.4,extreme fear
2022-05-11,4.028571428571429,extreme fear
2022-05-12,3.2,extreme fear
2022-05-13,11.285714285714286,extreme fear
2022-05-16,11.742857142857144,extreme fear
2022-05-17,15.200000000000001,extreme fear
2022-05-18,6.6000000000000005,extreme fear
2022-05-19,13.714285714285714,extreme fear
2022-05-20,12.657142857142858,extreme fear
2022-05-23,17.885714285714283,extreme fear
2022-05-24,16.0,extreme fear
2022-05-25,17.571428571428573,extreme fear
2022-05-26,24.114285714285717,extreme fear
2022-05-27,29.542857142857144,fear
2022-05-31,40.057142857142864,fear
2022-06-01,40.60000000000001,fear
2022-06-03,35.45714285714286,fear
2022-06-06,42.800000000000004,fear
2022-06-07,45.62857142857143,neutral
2022-06-08,48.11428571428571,neutral
2022-06-09,47.05714285714286,neutral
2022-06-10,40.00000000000001,fear
2022-06-13,25.085714285714293,fear
2022-06-14,20.528571428571432,extreme fear
2022-06-15,29.25714285714286,fear
2022-06-16,17.700000000000003,extreme fear
2022-06-17,16.92857142857143,extreme fear
2022-06-21,19.728571428571428,extreme fear
2022-06-22,26.885714285714283,fear
2022-06-23,26.742857142857144,fear
2022-06-24,30.85714285714286,fear
2022-06-27,30.771428571428572,fear
2022-06-29,26.542857142857144,fear
2022-06-30,24.371428571428574,extreme fear
2022-07-01,24.571428571428573,extreme fear
2022-07-05,22.171428571428574,extreme fear
2022-07-06,22.828571428571426,extreme fear
2022-07-07,27.599999999999998,fear
2022-07-08,31.342857142857145,fear
2022-07-11,30.37142857142857,fear
2022-07-12,30.314285714285713,fear
2022-07-13,27.28571428571428,fear
2022-07-14,26.514285714285716,fear
2022-07-15,33.285714285714285,fear
2022-07-18,35.885714285714286,fear
2022-07-19,39.31428571428571,fear
2022-07-20,44.08571428571429,fear
2022-07-21,48.199999999999996,neutral
2022-07-22,42.42857142857143,fear
2022-07-25,42.2,fear
2022-07-27,46.628571428571426,neutral
2022-07-28,48.48571428571429,neutral
2022-07-29,52.4,neutral
2022-08-01,59.08571428571429,greed
2022-08-02,57.371428571428574,greed
2022-08-03,60.25714285714286,greed
2022-08-04,61.51428571428571,greed
2022-08-05,63.314285714285724,greed
2022-08-08,64.74285714285715,greed
2022-08-09,64.45714285714286,greed
2022-08-10,65.11428571428571,greed
2022-08-11,65.82857142857144,greed
2022-08-12,68.02857142857144,greed
2022-08-15,66.82857142857144,greed
2022-08-16,67.94285714285715,greed
2022-08-17,67.14285714285715,greed
2022-08-18,66.37142857142858,greed
2022-08-19,63.714285714285715,greed
2022-08-22,60.314285714285724,greed
2022-08-23,57.42857142857144,greed
2022-08-24,57.51428571428571,greed
2022-08-25,58.25714285714287,greed
2022-08-26,55.74285714285714,greed
2022-08-29,54.285714285714285,neutral
2022-08-30,49.800000000000004,neutral
2022-08-31,52.08571428571429,neutral
2022-09-02,42.457142857142856,fear
2022-09-06,40.62857142857143,fear
2022-09-07,39.62857142857143,fear
2022-09-08,40.371428571428574,fear
2022-09-09,43.8,fear
2022-09-12,47.6,neutral
2022-09-13,36.62857142857143,fear
2022-09-14,41.885714285714286,fear
2022-09-15,40.65714285714286,fear
2022-09-16,35.285714285714285,fear
2022-09-19,36.31428571428571,fear
2022-09-20,36.114285714285714,fear
2022-09-21,27.21428571428571,fear
2022-09-22,24.48571428571429,extreme fear
2022-09-23,21.685714285714287,extreme fear
2022-09-26,17.62857142857143,extreme fear
2022-09-27,16.514285714285716,extreme fear
2022-09-28,17.02857142857143,extreme fear
2022-09-29,13.257142857142858,extreme fear
2022-09-30,16.45714285714286,extreme fear
2022-10-03,20.38571428571429,extreme fear
2022-10-04,27.88571428571429,fear
2022-10-05,29.714285714285715,fear
2022-10-06,23.142857142857142,extreme fear
2022-10-07,19.67142857142857,extreme fear
2022-10-10,19.4,extreme fear
2022-10-11,16.885714285714283,extreme fear
2022-10-12,15.942857142857145,extreme fear
2022-10-13,19.37142857142857,extreme fear
2022-10-17,23.400000000000002,extreme fear
2022-10-20,39.08571428571429,fear
2022-10-21,43.74285714285715,fear
2022-10-24,47.22857142857142,neutral
2022-10-25,51.371428571428574,neutral
2022-10-26,53.800000000000004,neutral
2022-10-27,54.57142857142857,neutral
2022-10-28,57.114285714285714,greed
2022-10-31,64.05714285714286,greed
2022-11-01,63.51428571428572,greed
2022-11-02,55.285714285714285,greed
2022-11-03,55.51428571428572,greed
2022-11-04,56.51428571428572,greed
2022-11-07,59.65714285714286,greed
2022-11-08,57.94285714285714,greed
2022-11-09,54.0,neutral
2022-11-10,60.34285714285714,greed
2022-11-11,63.74285714285713,greed
2022-11-14,62.68571428571429,greed
2022-11-15,66.91428571428573,greed
2022-11-16,65.08571428571427,greed
2022-11-17,61.48571428571429,greed
2022-11-18,60.34285714285715,greed
2022-11-21,60.97142857142857,greed
2022-11-22,60.8,greed
2022-11-25,63.08571428571429,greed
2022-11-28,59.74285714285715,greed
2022-11-29,58.17142857142857,greed
2022-11-30,73.97142857142856,greed
2022-12-01,75.60000000000001,extreme greed
2022-12-02,68.14285714285714,greed
2022-12-05,65.08571428571429,greed
2022-12-06,61.828571428571436,greed
2022-12-07,58.42857142857143,greed
2022-12-08,55.6857142857143,greed
2022-12-09,52.08571428571428,neutral
2022-12-12,57.199999999999996,greed
2022-12-13,59.17142857142858,greed
2022-12-14,60.94285714285714,greed
2022-12-15,60.142857142857146,greed
2022-12-16,44.142857142857146,fear
2022-12-19,39.971428571428575,fear
2022-12-20,38.314285714285724,fear
2022-12-21,38.542857142857144,fear
2022-12-22,37.0,fear
2022-12-23,39.51428571428572,fear
2022-12-27,39.94285714285714,fear
2022-12-28,35.51428571428572,fear
2022-12-29,37.142857142857146,fear
2022-12-30,36.51428571428571,fear
2023-01-03,36.6,fear
2023-01-05,44.17142857142858,fear
2023-01-06,45.714285714285715,neutral
2023-01-09,47.2,neutral
2023-01-10,49.65714285714286,neutral
2023-01-11,54.228571428571435,neutral
2023-01-12,56.68571428571429,greed
2023-01-13,61.31428571428571,greed
2023-01-17,64.14285714285714,greed
2023-01-19,55.42857142857144,greed
2023-01-20,58.542857142857144,greed
2023-01-23,63.60000000000001,greed
2023-01-24,63.0,greed
2023-01-25,63.88571428571429,greed
2023-01-30,67.45714285714287,greed
2023-01-31,70.34285714285716,greed
2023-02-01,82.17142857142858,extreme greed
2023-02-02,75.2,extreme greed
2023-02-03,76.14285714285714,extreme greed
2023-02-06,75.91428571428573,extreme greed
2023-02-07,76.34285714285714,extreme greed
2023-02-08,74.62857142857142,greed
2023-02-09,72.62857142857143,greed
2023-02-10,72.4857142857143,greed
2023-02-13,71.82857142857144,greed
2023-02-14,73.25714285714287,greed
2023-02-15,73.65714285714284,greed
2023-02-16,70.71428571428572,greed
2023-02-17,69.48571428571428,greed
2023-02-21,65.91428571428573,greed
2023-02-22,64.17142857142859,greed
2023-02-23,62.65714285714285,greed
2023-02-24,60.65714285714286,greed
2023-02-27,61.22857142857144,greed
2023-02-28,61.2,greed
2023-03-02,52.2857142857143,neutral
2023-03-03,56.2857142857143,greed
2023-03-04,62.1142857142857,greed
2023-03-06,55.0285714285714,greed
2023-03-07,49.6571428571429,neutral
2023-03-08,49.2285714285714,neutral
2023-03-09,36.8864864864865,fear
2023-03-10,24.3714285714286,extreme fear
2023-03-11,23.4857142857143,extreme fear
2023-03-13,26.0736842105263,fear
2023-03-14,23.9851576994434,extreme fear
2023-03-15,22.0307692307692,extreme fear
2023-03-16,33.1714285714286,fear
2023-03-17,28.9645569620253,fear
2023-03-18,29.0502712477396,fear
2023-03-20,38.0285714285714,fear
2023-03-21,42.7428571428571,fear
2023-03-22,39.6,fear
2023-03-23,32.6464285714286,fear
2023-03-24,37.4285714285714,fear
2023-03-25,38.5428571428571,fear
2023-03-27,37.9428571428571,fear
2023-03-28,38.3142857142857,fear
2023-03-29,40.4857142857143,fear
2023-03-30,44.8857142857143,fear
2023-03-31,60.4857142857143,greed
2023-04-01,59.1714285714286,greed
2023-04-03,55.4857142857143,greed
2023-04-04,52.9714285714286,neutral
2023-04-05,55.6,greed
2023-04-06,58.6,greed
2023-04-07,58.2571428571429,greed
2023-04-10,58.9428571428571,greed
2023-04-11,59.8,greed
2023-04-12,60.4571428571429,greed
2023-04-13,68.7714285714286,greed
2023-04-14,67.2857142857143,greed
2023-04-15,68.5428571428571,greed
2023-04-17,68.8285714285714,greed
2023-04-18,70.2857142857143,greed
2023-04-19,69.4857142857143,greed
2023-04-20,65.2285714285714,greed
2023-04-21,65.2,greed
2023-04-22,65.3142857142857,greed
2023-04-24,64.0,greed
2023-04-25,54.9142857142857,neutral
2023-04-26,52.5714285714286,neutral
2023-04-27,58.4,greed
2023-04-28,60.2571428571429,greed
2023-05-01,58.0,greed
2023-05-02,52.6,neutral
2023-05-03,57.1428571428571,greed
2023-05-04,52.3714285714286,neutral
2023-05-05,59.8857142857143,greed
2023-05-08,60.3142857142857,greed
2023-05-10,58.4857142857143,greed
2023-05-11,57.4,greed
2023-05-12,58.1428571428571,greed
2023-05-15,59.4285714285714,greed
2023-05-16,57.2857142857143,greed
2023-05-17,61.9428571428571,greed
2023-05-18,67.5714285714286,greed
2023-05-19,68.9714285714286,greed
2023-05-22,70.1428571428571,greed
2023-05-23,63.7428571428571,greed
2023-05-24,60.6,greed
2023-05-25,61.6,greed
2023-05-26,69.0,greed
2023-05-31,63.9428571428572,greed
2023-06-01,62.4857142857143,greed
2023-06-02,73.8285714285714,greed
2023-06-05,73.7428571428571,greed
2023-06-06,75.7428571428571,extreme greed
2023-06-07,76.6571428571429,extreme greed
2023-06-08,77.6857142857143,extreme greed
2023-06-09,77.4,extreme greed
2023-06-12,78.7714285714286,extreme greed
2023-06-13,80.1714285714286,extreme greed
2023-06-14,78.6285714285714,extreme greed
2023-06-15,80.9714285714286,extreme greed
2023-06-16,79.9142857142857,extreme greed
2023-06-20,78.4285714285714,extreme greed
2023-06-21,78.0285714285714,extreme greed
2023-06-22,75.6857142857143,extreme greed
2023-06-23,72.9428571428572,greed
2023-06-26,72.4,greed
2023-06-27,76.9714285714286,extreme greed
2023-06-28,77.9142857142857,extreme greed
2023-06-29,79.0285714285714,extreme greed
2023-06-30,83.2571428571429,extreme greed
2023-07-03,79.3428571428571,extreme greed
2023-07-04,79.5714285714286,extreme greed
2023-07-05,79.1428571428571,extreme greed
2023-07-06,77.7428571428571,extreme greed
2023-07-07,77.7142857142857,extreme greed
2023-07-10,77.4857142857143,extreme greed
2023-07-11,78.1428571428572,extreme greed
2023-07-12,79.8571428571429,extreme greed
2023-07-13,80.7142857142857,extreme greed
2023-07-14,79.6285714285714,extreme greed
2023-07-17,80.8285714285714,extreme greed
2023-07-18,83.4571428571429,extreme greed
2023-07-19,81.5714285714286,extreme greed
2023-07-20,81.9714285714286,extreme greed
2023-07-21,81.7714285714286,extreme greed
